month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-07,Alabama,33116,865,8711,5851,410,353,0,19,14,1,1525,854,4,0,0,0,0,0,20,9,4,0,1,0,51757
2019-07,Alaska,167,24,2172,2139,247,151,0,0,0,0,173,147,1,26,22,0,0,0,11,15,2,1,0,0,5298
2019-07,Arizona,5181,489,11005,5995,1203,651,0,18,3,2,1137,485,4,113,9,0,0,0,13,12,5,0,0,0,26325
2019-07,Arkansas,2687,645,4049,3487,289,305,5,8,17,1,1097,1077,3,0,0,0,0,0,5,8,1,0,0,0,13684
2019-07,California,27930,0,30400,20830,3485,0,6259,0,0,0,382,242,4,0,0,0,0,0,0,0,0,0,0,0,89532
2019-07,Colorado,6156,0,15550,9601,1238,916,1,0,0,0,0,0,0,292,57,1,0,0,0,0,0,0,0,0,33812
2019-07,Connecticut,6838,477,4235,1403,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13362
2019-07,Delaware,227,0,1410,936,107,65,0,2,3,0,12,9,0,41,0,3,0,0,40,12,3,2,1,0,2873
2019-07,District of Columbia,250,0,105,4,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,375
2019-07,Florida,14674,0,43914,13570,3307,1968,3,27,10,0,3953,1027,12,1006,116,6,0,0,212,108,29,43,39,0,84024
2019-07,Georgia,16348,0,9663,5261,476,394,0,22,7,1,1663,917,5,2,2,0,0,0,19,6,1,0,0,0,34787
2019-07,Guam,0,0,121,57,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
2019-07,Hawaii,1040,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1045
2019-07,Idaho,11449,0,3504,3341,311,179,0,8,9,1,364,401,0,42,9,6,0,0,4,8,0,0,1,0,19637
2019-07,Illinois,10764,405293,15782,6889,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439458
2019-07,Indiana,534,36096,13982,7568,1225,583,26,8,6,1,609,359,22,24,2,1,0,0,50,35,6,0,2,0,61139
2019-07,Iowa,3935,6072,113,1264,29,4,0,0,1,0,2,41,0,32,10,0,0,0,1,3,0,0,0,0,11507
2019-07,Kansas,1635,3,4255,3203,417,260,0,11,1,1,548,246,6,41,14,2,0,0,9,6,3,0,1,0,10662
2019-07,Kentucky,1627,301200,8059,4658,370,451,0,34,14,1,1680,1115,1,17,14,0,0,0,21,7,0,0,1,0,319270
2019-07,Louisiana,1781,119,7646,5110,624,399,0,7,4,1,1066,597,6,1,0,0,0,0,13,7,1,2,1,0,17385
2019-07,Maine,412,3,2322,2161,190,135,2,0,1,0,80,96,1,22,6,0,0,0,2,3,0,1,0,0,5437
2019-07,Mariana Islands,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2019-07,Maryland,3248,17,3082,3162,84,50,0,4,3,0,71,92,0,35,14,0,0,0,0,23,0,4,2,0,9891
2019-07,Massachusetts,9084,0,3711,1886,387,132,7,0,0,1,12,2,0,0,0,0,0,0,19,20,8,3,0,0,15272
2019-07,Michigan,17643,8,7396,5571,538,164,0,0,0,0,8,174,0,65,16,1,0,0,11,12,0,0,0,0,31607
2019-07,Minnesota,7939,19570,6938,6575,610,289,0,4,5,0,205,236,3,47,14,3,0,0,6,8,2,0,0,0,42454
2019-07,Mississippi,1694,0,5769,3476,313,302,0,16,11,1,1474,829,1,5,1,0,0,0,16,5,2,1,2,0,13918
2019-07,Missouri,2602,0,14131,10224,1249,787,0,13,10,1,1434,819,12,254,26,4,0,0,38,17,2,3,1,0,31627
2019-07,Montana,1018,0,2615,3045,192,209,10,5,6,0,404,567,1,24,5,3,0,0,3,1,0,0,1,1,8110
2019-07,Nebraska,2736,77,80,1047,19,1,0,0,0,0,8,38,0,28,10,0,0,0,0,0,0,0,0,0,4044
